movie_id,title,tags
211672,Minions,"minion stuart, kevin and bob are recruit by scarlet overkill, a super-villain who, alongsid her inventor husband herb, hatch a plot to take over the world. famili anim adventur comedi assist aftercreditssting duringcreditssting evilmastermind minion 3d sandrabullock jonhamm michaelkeaton kylebalda"
157336,Interstellar,interstellar chronicl the adventur of a group of explor who make use of a newli discov wormhol to surpass the limit on human space travel and conquer the vast distanc involv in an interstellar voyage. adventur drama sciencefict savingtheworld artificialintellig fathersonrelationship singlepar nasa expedit wormhol spacetravel famin blackhol dystopia raceagainsttim quantummechan spaceship space rescu familyrelationship farmhous robot astronaut scientist fatherdaughterrelationship singlefath farmer spacest imax astrophys zerograv courag timeparadox rel matthewmcconaughey jessicachastain annehathaway christophernolan
293660,Deadpool,"deadpool tell the origin stori of former special forc oper turn mercenari wade wilson, who after be subject to a rogu experi that leav him with acceler heal powers, adopt the alter ego deadpool. arm with hi new abil and a dark, twist sens of humor, deadpool hunt down the man who nearli destroy hi life. action adventur comedi antihero mercenari marvelcom superhero basedoncomicbook breakingthefourthwal aftercreditssting duringcreditssting selfheal ryanreynold morenabaccarin edskrein timmil"
118340,Guardians of the Galaxy,"light year from earth, 26 year after be abducted, peter quill find himself the prime target of a manhunt after discov an orb want by ronan the accuser. action sciencefict adventur marvelcom spaceship space outerspac orphan adventur aftercreditssting duringcreditssting marvelcinematicunivers chrispratt zoesaldana davebautista jamesgunn"
76341,Mad Max: Fury Road,"an apocalypt stori set in the furthest reach of our planet, in a stark desert landscap where human is broken, and most everyon is craze fight for the necess of life. within thi world exist two rebel on the run who just might be abl to restor order. there' max, a man of action and a man of few words, who seek peac of mind follow the loss of hi wife and child in the aftermath of the chaos. and furiosa, a woman of action and a woman who believ her path to surviv may be achiev if she can make it across the desert back to her childhood homeland. action adventur sciencefict thriller futur chase post-apocalypt dystopia australia rescu surviv ontherun convoy peakoil darkfutur tomhardi charlizetheron nicholashoult georgemil"
135397,Jurassic World,"twenty-two year after the event of jurass park, isla nublar now featur a fulli function dinosaur theme park, jurass world, as origin envis by john hammond. action adventur sciencefict thriller monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan colintrevorrow"
22,Pirates of the Caribbean: The Curse of the Black Pearl,"jack sparrow, a freewheel 17th-centuri pirat who roam the caribbean sea, butt head with a rival pirat bent on pillag the villag of port royal. when the governor' daughter is kidnapped, sparrow decid to help the girl' love save her. but their seafar mission is hardli simple. adventur fantasi action exoticisland blacksmith eastindiatradingcompani gold marriagepropos mutini jamaica skeleton daughter governor woodeney goldcoin pirat alcohol swashbuckl caribbean aftercreditssting pirateship capuchinmonkey tortuga johnnydepp geoffreyrush orlandobloom goreverbinski"
119450,Dawn of the Planet of the Apes,"a group of scientist in san francisco struggl to stay aliv in the aftermath of a plagu that is wipe out humanity, while caesar tri to maintain domin over hi commun of intellig apes. sciencefict action drama thriller leader coloni post-apocalypt dystopia forest sequel wood ape scientist monkey medicalresearch animalattack plagu 3d andyserki jasonclark garyoldman mattreev"
131631,The Hunger Games: Mockingjay - Part 1,katniss everdeen reluctantli becom the symbol of a mass rebellion against the autocrat capitol. sciencefict adventur thriller resist post-apocalypt dystopia war sequel femaleprotagonist bowandarrow game futurewar revolt classprejudic humansubjug basedonyoungadultnovel jenniferlawr joshhutcherson liamhemsworth francislawr
177572,Big Hero 6,"the special bond that develop between plus-siz inflat robot baymax, and prodigi hiro hamada, who team up with a group of friend to form a band of high-tech heroes. adventur famili anim action comedi brotherbrotherrelationship hero talent reveng bestfriend anotherdimens robot boygeniu hate aftercreditssting moraldilemma 3d teensuperhero deadbroth scottadsit ryanpott danielhenney chriswilliam"
87101,Terminator Genisys,"the year is 2029. john connor, leader of the resist continu the war against the machines. at the lo angel offensive, john' fear of the unknown futur begin to emerg when tecom spi reveal a new plot by skynet that will attack him from both fronts; past and future, and will ultim chang warfar forever. sciencefict action thriller adventur savingtheworld artificialintellig cyborg killerrobot futur timetravel dystopia sequel fiction duringcreditssting 3d arnoldschwarzenegg jasonclark emiliaclark alantaylor"
271110,Captain America: Civil War,"follow the event of age of ultron, the collect govern of the world pass an act design to regul all superhuman activity. thi polar opinion amongst the avengers, caus two faction to side with iron man or captain america, which caus an epic battl between former allies. adventur action sciencefict civilwar war marvelcom sequel superhero basedoncomicbook imax aftercreditssting duringcreditssting marvelcinematicunivers 3d chrisevan robertdowneyjr. scarlettjohansson anthonyrusso"
244786,Whiplash,"under the direct of a ruthless instructor, a talent young drummer begin to pursu perfect at ani cost, even hi humanity. drama jazz obsess conservatori musicteach newyorkc violenc montag drummer publichumili jazzband youngadult musicschool milestel j.k.simmon melissabenoist damienchazel"
155,The Dark Knight,"batman rais the stake in hi war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman set out to dismantl the remain crimin organ that plagu the streets. the partnership prove to be effective, but they soon find themselv prey to a reign of chao unleash by a rise crimin mastermind known to the terrifi citizen of gotham as the joker. drama action crime thriller dccomic crimefight secretident scarecrow sadism chao gothamc vigilant joker superhero basedoncomicbook tragichero organizedcrim criminalmastermind districtattorney imax supervillain superpow batman christianbal heathledg aaroneckhart christophernolan"
286217,The Martian,"dure a man mission to mars, astronaut mark watney is presum dead after a fierc storm and left behind by hi crew. but watney ha surviv and find himself strand and alon on the hostil planet. with onli meager supplies, he must draw upon hi ingenuity, wit and spirit to subsist and find a way to signal to earth that he is alive. drama adventur sciencefict basedonnovel mar nasa isol botanist strand spaceship space engin surviv astronaut scienc deepspaceexplor duringcreditssting battleforsurviv mattdamon jessicachastain kristenwiig ridleyscott"
27205,Inception,"cobb, a skill thief who commit corpor espionag by infiltr the subconsci of hi target is offer a chanc to regain hi old life as payment for a task consid to be impossible: ""inception"", the implant of anoth person' idea into a target' subconscious. action thriller sciencefict mysteri adventur lossoflov dream kidnap sleep subconsci heist redempt femalehero leonardodicaprio josephgordon-levitt ellenpag christophernolan"
109445,Frozen,"young princess anna of arendel dream about find true love at her sister elsa’ coronation. fate take her on a danger journey in an attempt to end the etern winter that ha fallen over the kingdom. she' accompani by ice deliveri man kristoff, hi reindeer sven, and snowman olaf. on an adventur where she will find out what friendship, courage, family, and true love realli means. anim adventur famili queen music princess betray snowman anim reindeer curs snow troll mountainclimb aftercreditssting womandirector 3d kristenbel idinamenzel jonathangroff chrisbuck"
209112,Batman v Superman: Dawn of Justice,"fear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before. action adventur fantasi dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavil galgadot zacksnyd"
19995,Avatar,"in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweav jamescameron"
550,Fight Club,"a ticking-time-bomb insomniac and a slipperi soap salesman channel primal male aggress into a shock new form of therapy. their concept catch on, with underground ""fight clubs"" form in everi town, until an eccentr get in the way and ignit an out-of-control spiral toward oblivion. drama supportgroup dualident nihil rageandh insomnia dystopia violenc edwardnorton bradpitt meatloaf davidfinch"
58,Pirates of the Caribbean: Dead Man's Chest,"captain jack sparrow work hi way out of a blood debt with the ghostli davey jones, he also attempt to avoid etern damnation. adventur fantasi action witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley goreverbinski"
205596,The Imitation Game,"base on the real life stori of legendari cryptanalyst alan turing, the film portray the nail-bit race against time by ture and hi brilliant team of code-break at britain' top-secret govern code and cypher school at bletchley park, dure the darkest day of world war ii. histori drama thriller war gay england worldwarii mathematician biographi logician cryptographi benedictcumberbatch keiraknightley matthewgood mortentyldum"
24428,The Avengers,"when an unexpect enemi emerg and threaten global safeti and security, nick fury, director of the intern peacekeep agenc known as s.h.i.e.l.d., find himself in need of a team to pull the world back from the brink of disaster. span the globe, a dare recruit effort begins! sciencefict action adventur newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers robertdowneyjr. chrisevan markruffalo josswhedon"
238,The Godfather,"span the year 1945 to 1955, a chronicl of the fiction italian-american corleon crime family. when organ crime famili patriarch, vito corleon bare surviv an attempt on hi life, hi youngest son, michael step in to take care of the would-b killers, launch a campaign of bloodi revenge. drama crime itali loveatfirstsight lossoffath patriarch organizedcrim mafia lawyer italianamerican crimefamili risetopow mobboss 1940 marlonbrando alpacino jamescaan francisfordcoppola"
98566,Teenage Mutant Ninja Turtles,the citi need heroes. dark ha settl over new york citi as shredder and hi evil foot clan have an iron grip on everyth from the polic to the politicians. the futur is grim until four unlik outcast brother rise from the sewer and discov their destini as teenag mutant ninja turtles. the turtl must work with fearless report april and her wise-crack cameraman vern fenwick to save the citi and unravel shredder' diabol plan. sciencefict action adventur fantasi comedi martialart terrorist hero mutat van turtl vigilant superhero basedoncomicbook ninja newyorkc sewer reboot scienceexperi 3d meganfox willarnett williamfichtn jonathanliebesman
210577,Gone Girl,"with hi wife' disappear have becom the focu of an intens media circus, a man see the spotlight turn on him when it' suspect that he may not be innocent. mysteri thriller drama basedonnovel marriagecrisi disappear cheatinghusband missingperson searchparti criminallawy wifemurd murdersuspect missingwif benaffleck rosamundpik carriecoon davidfinch"
